Question,Option,Answer,Explanation
1,1,,"Sugerencia: En los paises europeos algunos contenidos de sitios web para compartir videos como Youtube, Vimeo, etc. no son accesibles debido a infracciones de derechos de autor. Por favor, expresa tus experiencias con este tipo  de problemas (incluya el país y sitio web en los cuales ocurrieron los hechos)."
58,1,,"Sugerencia: Como uso normal de internet se incluye explícitamente el compartir, mejorar y remezclar contenidos, tal vez se encontró con una situación en la que no estaba muy seguro de cómo establecer dicho uso en relación con la normativa de derechos de autor."
80,1,,"Sugerencia: ¿Por qué cree que el intercambio de información y conocimiento online es necesario en el siglo 21? ¿El temor a las posibles consecuencias legales le impide difundir contenido útil? Por favor, cuéntenos sus experiencias."
13,1,,"Sugerencia: La mayoría de las veces cuando usted compra música, películas, libros electrónicos, etc. online, hay algún tipo de restricción como la gestión de derechos digitales (DRM), el cual prohibe la transmisión o la reventa de los contenidos que compró. Dé algunos ejemplos si esto le sucedió."
64,1,,"Sugerencia: Algunas de estas restricciones vulneran el derecho a la copia privada y la reprografía que disfruta offline. Si usted considera que debería aclararse que estos derechos también deben poder efectuarse online, explíquelo aquí."
21,1,,"Sugerencia: Algunos servicios como Netflix, Spotify o Hulu sólo están disponibles en determinados paises europeos ya que las empresas tienen que hacer frente a los derechos de autor en un ámbito nacional. Cuente algunos ejemplos si esto le ha sucedido. ¿Cree que ésto es problemático? ¿Las directivas de derechos de autor deberían estandarizarse a nivel europeo?"
23,1,,"Sugerencia: Algunos usos que parecen naturales para nosotros son bastante complejos con respecto a la ley de derechos de autor - por ejemplo, el uso de obras derivadas/transformadas (remezclas, homenajes, etc.). Si usted piensa que debería añadirse una limitación a la ley de derechos de autor para tales usos, por favor comparta sus experiencias."
72,1,,"Sugerencia: ¿Qué tipo de contenido fue 'robado'? ¿Cómo piensa que debería ser compensado?"
74,1,,"Sugerencia: ¿Cómo piensa que debería funcionar?"
22,1,,"Sugerencia: La mayoría de las limitaciones y excepciones previstas en las directivas de derechos de autor de la Unión Europea son opcionales para los Estados Miembros. ¿Debería existir una regulación a escala comunitaria? ¿Qué piensa usted? Por favor, explique haciendo referencia a casos específicos."
77,1,,"Sugerencia: Explique su experiencia de cómo la protección de los intereses de los ciudadanos parecía menos importante que la aplicación de los derechos de autor. Si es posible, dé ejemplos."
11,2,,"Sugerencia: Los enlaces son elementos clave de Internet. ¿Debería alguien ser responsable por enlazar con material bajo la protección de derechos de autor? ¿Sí, siempre / Sólo en algunos casos / No, nunca? ¿Por qué? (p.e., debido a que no equivale a un acto de comunicación al público - o para un nuevo público, o porque ésta debería estar amparada por una excepción de los derechos de autor)"
