Question,Option,Answer,Explanation
1,1,,"Suggerimento: In alcuni paesi europei, alcuni contenuti da siti web di condivisione di video, come YouTube o Vimeo, non sono accessibili a causa di violazioni del diritto d'autore. Indica le tue esperienze con questo tipo di problemi (includi anche il paese e il sito con i quali sono successi i problemi)."
58,1,,"Suggerimento: Dato che un normale utilizzo di Internet include esplicitamente la condivisione, il miglioramento e la combinazione di contenuti, forse ti sei trovato/a in una situazione dove non eri veramente sicuro/a di come comportarti riguardo alle leggi sul diritto d'autore."
80,1,,"Suggerimento: Perché credi che sia necessario condividere online informazioni e conoscenza nel 21° secolo? La paura di ripercussioni legali ti trattiede dal condividere contenuti utilit? Per favore racconta le tue esperienze al riguardo."
13,1,,"Suggerimento: La maggior parte delle volte che compri musica, film, e-book, etc. su Internet ci sono delle restrizioni di vario tipo, come il DRM, che proibisce di passare o rivendere i contenuti che hai comprato. Fornisci esempi di quando ti è accaduto."
64,1,,"Suggerimento: Alcune di tali restrizioni infrangono i diritti di copia e fotocopia ad uso personale di cui avresti diritto offline. Se pensi che si debba chiarire che questi devono anche applicarsi online, spiegalo qui."
21,1,,"Suggerimento: Alcuni servizi, come Netflix, Spotify o Hulu sono disponibili solamente in alcuni paesi europei, perché le compagnie devono trattare i diritti d'autore a livello nazionale. Fornisci esempi di situazioni in cui ti è accaduto. Pensi che sia problematico? Le direttive sul diritto d'autore dovrebbero essere standardizzate a livello europeo?"
23,1,,"Suggerimento: Alcuni usi che ci sembrano naturali sono in realtà molto complessi dal punto di vista delle leggi sul diritto d'autore - per esempio usi derivativi/trasformativi (remix, omaggi, etc). Se pensi che debbano essere aggiunte delle limitazioni in tal senso alle leggi sul diritto d'autore, per favore indicalo e condividi le tue esperienze."
72,1,,"Suggerimento: Che tipo di contenuti è stato 'rubato' ? Quale pensi che sia un giusto modo di essere ricompensati?"
74,1,,"Suggerimento: Come pensi che dovrebbe funzionare?"
22,1,,"Suggerimento: Molte limitazioni ed eccezioni previste dalle direttive sul diritto d'autore dell'Unione europea sono opzionali per gli stati memgri. Ci dovrebbe essere una regolamentazione a livello di Unione europea? Cosa ne pensi? Per favore chiarifica riferendoti a casi specifici."
77,1,,"Suggerimento: Racconta la tua esperienza di come la protezione degli interessi dei cittadini sembri meno importante dell'applicazione del diritto d'autore. Se possibile fornisci esempi."
11,2,,"Suggerimento: I collegamenti sono gli elementi chiave di Internet. Le persone dovrebbero essere ritenute responsabili di aver effettuato collegamenti verso materiali protetti da diritti d'autore? Sempre / solo in alcuni casi / mai ? Perché? (per esempio perché non costituisce un atto di comunicazione al pubblico - o ad un nuovo pubblico, o perché dovrebbe essere coperto da un'eccezione del diritto d'autore)"
